dive_id|image_id|path|camera_id|model|known_length_m|length_m|depth_m|n_ht|ht|dot|pos|ax|km|dist
58|4518|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290088.ORF|2|Grouper|0.36|0.36459743720754245|1.2636668682098389|1|2470.161128812016;1340.801642033304;1647.289459898146;1300.9531350641096|2053.0024574107456;1356.3942886424134|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4517|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290087.ORF|2|Grouper|0.36|0.3654926036114996|1.2653939723968506|1|2439.0190549303757;1376.5044305903148;1621.417292115686;1267.4515638846785|2052.2225755166933;1356.960254372019|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4521|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290090.ORF|2|Grouper|0.36|0.3617095488178243|1.4831700325012207|1|2284.527312991739;1506.9734883130745;1708.6102817949459;1112.025268352121|2065.7853263797606;1389.5363900734071|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4520|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290091.ORF|2|Grouper|0.36|0.3632356320534927|1.528298020362854|1|2255.181450918097;1552.4417602086482;1772.7188722287121;1070.8860660656721|2067.1496790878623;1395.3935900132317|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4522|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290092.ORF|2|Grouper|0.36|0.36575497011242525|1.5735011100769043|1|2238.3513442180874;1602.8011701640755;1809.3949537668113;1091.7717282628184|2068.301377603705;1400.9540507906854|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4525|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290095.ORF|2|Grouper|0.36|0.3562232414718988|1.8587162494659424|1|2294.7572821900694;1438.7224111502053;1748.8127852520809;1401.0867024742472|2076.658746727006;1429.2003596316972|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4524|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290094.ORF|2|Grouper|0.36|0.36385661530726077|1.8602747917175293|1|2299.1347166174596;1467.861182190848;1745.0819792430923;1397.08515773659|2076.78275327372;1429.3066030154355|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4523|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290093.ORF|2|Grouper|0.36|0.3685983771388443|1.86250901222229|1|2270.4878402833565;1513.3581582916634;1718.5761503536144;1391.0092372377194|2077.321828756876;1429.368317772203|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4526|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290096.ORF|2|Grouper|0.36|0.35097160732954735|1.8752206563949585|1|2301.3133993065835;1421.1946945001255;1766.9491204227368;1414.56746127637|2077.250518522529;1430.5192757309133|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4528|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290097.ORF|2|Shark|0.605|0.6305193868932951|1.3824542760849|1|2755.6484003453706;1408.248841770642;1454.4413843128216;1355.372938292288|2056.4552656809738;1376.8145975460334|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4527|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290098.ORF|2|Shark|0.605|0.6245815936599836|1.3912490606307983|1|2743.2919329644856;1403.8701696578107;1462.3175111623125;1356.2587309713583|2057.5624398214036;1377.903561086015|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4530|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290100.ORF|2|Shark|0.605|0.624521214385951|1.4854989051818848|1|2700.4749106469303;1421.732468611371;1500.3581680724901;1395.4880150075564|2061.7553080899247;1391.0213424238864|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4531|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290101.ORF|2|Shark|0.605|0.6300027818040079|1.5048789978027344|1|2726.907423009107;1410.7050719085764;1532.5254500828635;1362.4209824653644|2064.4178897484644;1392.9571636537123|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4532|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290102.ORF|2|Shark|0.605|0.6292986162802392|2.199448347091675|1|2536.0402436187646;1522.2760104999322;1721.936962342721;1453.5620660220482|2081.6261099519656;1453.9504955610298|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4534|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290103.ORF|2|Shark|0.605|0.6262355393709188|2.272308588027954|1|2527.5481851215845;1543.4528594157905;1743.5491778417081;1475.302363916445|2081.5598154476065;1458.5874383149035|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4533|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290104.ORF|2|Shark|0.605|0.6272098189822727|2.3377816677093506|1|2516.3062865668853;1527.2158165538501;1752.430457091934;1468.9659245345274|2083.9961270001204;1461.711602712053|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4537|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290107.ORF|2|Shark|0.605|0.6164688165141263|2.6261775493621826|1|2443.5535979076963;1461.2176521911979;1773.3186107314204;1456.52248590625|2090.5271738250376;1474.6217025482733|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4536|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290105.ORF|2|Shark|0.605|0.6362258683327812|2.6695621013641357|1|2466.3261201507435;1490.4073431344905;1786.4310193816784;1461.698276132797|2089.466079381032;1476.854214958234|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4538|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290106.ORF|2|Shark|0.605|0.634169546764895|2.6705751419067383|1|2458.682199219847;1478.260615361102;1781.2018797873734;1450.6247845090047|2090.344965426617;1476.6614044462176|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4535|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290108.ORF|2|Shark|0.605|0.6343356022929032|2.695801019668579|1|2454.4117168825765;1488.5528835889938;1782.5658872354823;1483.4550118784127|2090.2083947392775;1477.7829540149357|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
58|4539|2023-09-07 REEF Data Dump/082923_Pool Calibration/082923_FishModels_FSL02/P8290109.ORF|2|Shark|0.605|0.628340440032473|2.715808391571045|1|2487.5120329155325;1490.0441057018577;1826.9002550355103;1489.4090547257656|2090.1096317137744;1478.6664016829352|[-0.031173786148428917, -0.10015573352575302, 0.0]|[0.03132905066013336, 0.047706976532936096, 0.9983699321746826]|[[2855.292793016781, 0.0, 2031.7894533541553], [0.0, 2881.0734769839373, 1447.6913944790074], [0.0, 0.0, 1.0]]|[-0.11559555406536047, -0.08204727579183725, -0.0014575310792852196, -9.091755738331913e-05, 0.09918960513471031]
59|4357|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290175.ORF|1|Grouper|0.36|0.33675788876273927|1.4309660196304321|1|2243.6787146031083;1376.9182655878394;1597.6141637416085;1211.2758031863057|1925.2463587877785;1348.0331230443455|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4356|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290174.ORF|1|Grouper|0.36|0.34638284553169063|1.439164638519287|1|2245.310104225777;1384.6766696839984;1583.9192045299721;1217.8552573721333|1924.5681617498567;1349.4500638667705|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4354|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290173.ORF|1|Grouper|0.36|0.34570498301956565|1.4392658472061157|1|2243.3570675938226;1393.2449593158103;1586.6230200438254;1213.9266779544341|1924.8437909797203;1349.388999733862|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4358|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290176.ORF|1|Grouper|0.36|0.32826025458927144|1.441017746925354|1|2259.171713448547;1379.4829627450617;1629.3403959677617;1238.008973505317|1925.0700884302987;1349.5869986929329|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4355|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290172.ORF|1|Grouper|0.36|0.3500939317353681|1.4445370435714722|1|2214.016995071125;1384.6952322503378;1554.9839951959823;1190.8169194963712|1924.6144308397666;1350.2440879167411|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4359|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290177.ORF|1|Grouper|0.36|0.3156905166791478|1.4473788738250732|1|2244.5839998237407;1351.049332836958;1633.4833362437787;1259.31447295024|1925.1494621498705;1350.498701841144|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
