66|470|10|Grouper|0.36|0.3049862521605992|2.198831558227539|2259.1511612260306|1428.5673088066605|1866.1927380167651|1398.238302988496|[[2841.3712142828917, 0.0, 2004.355023481056], [0.0, 2863.7600731700495, 1476.2484742699291], [0.0, 0.0, 1.0]]|[-0.12522768463073414, -0.03655398418155435, -0.0016834701843602728, 0.00031500872322268533, 0.033920993967001614]
66|471|10|Grouper|0.36|0.3046287541977297|2.212307929992676|2239.134541550382|1418.2704566534644|1850.1320756217472|1376.0735789934088|[[2841.3712142828917, 0.0, 2004.355023481056], [0.0, 2863.7600731700495, 1476.2484742699291], [0.0, 0.0, 1.0]]|[-0.12522768463073414, -0.03655398418155435, -0.0016834701843602728, 0.00031500872322268533, 0.033920993967001614]
66|472|10|Grouper|0.36|0.3164271480302645|2.2647945880889893|2241.2623060111564|1410.721365255139|1846.1737519584751|1371.668966459174|[[2841.3712142828917, 0.0, 2004.355023481056], [0.0, 2863.7600731700495, 1476.2484742699291], [0.0, 0.0, 1.0]]|[-0.12522768463073414, -0.03655398418155435, -0.0016834701843602728, 0.00031500872322268533, 0.033920993967001614]
66|473|10|Grouper|0.36|0.30367747068423806|2.214240312576294|2244.604200204085|1401.356613577507|1857.9815507854937|1352.199747960209|[[2841.3712142828917, 0.0, 2004.355023481056], [0.0, 2863.7600731700495, 1476.2484742699291], [0.0, 0.0, 1.0]]|[-0.12522768463073414, -0.03655398418155435, -0.0016834701843602728, 0.00031500872322268533, 0.033920993967001614]
66|474|10|Shark|0.605|0.6028819290070336|1.3332633972167969|1393.8493814798692|1324.831100534348|2673.5356291423905|1440.5428509927808|[[2841.3712142828917, 0.0, 2004.355023481056], [0.0, 2863.7600731700495, 1476.2484742699291], [0.0, 0.0, 1.0]]|[-0.12522768463073414, -0.03655398418155435, -0.0016834701843602728, 0.00031500872322268533, 0.033920993967001614]
66|475|10|Shark|0.605|0.6013915219204907|1.3344919681549072|1417.5711577334148|1284.8635882264798|2695.543157240996|1365.433251508648|[[2841.3712142828917, 0.0, 2004.355023481056], [0.0, 2863.7600731700495, 1476.2484742699291], [0.0, 0.0, 1.0]]|[-0.12522768463073414, -0.03655398418155435, -0.0016834701843602728, 0.00031500872322268533, 0.033920993967001614]
66|476|10|Shark|0.605|0.5951196649419139|1.560592770576477|1453.1549744181552|1266.565656015098|2532.4719858167578|1362.8272831770994|[[2841.3712142828917, 0.0, 2004.355023481056], [0.0, 2863.7600731700495, 1476.2484742699291], [0.0, 0.0, 1.0]]|[-0.12522768463073414, -0.03655398418155435, -0.0016834701843602728, 0.00031500872322268533, 0.033920993967001614]
66|477|10|Shark|0.605|0.597605900521701|1.5122737884521484|1483.139407983735|1253.227753942155|2602.54345315939|1341.5115339215515|[[2841.3712142828917, 0.0, 2004.355023481056], [0.0, 2863.7600731700495, 1476.2484742699291], [0.0, 0.0, 1.0]]|[-0.12522768463073414, -0.03655398418155435, -0.0016834701843602728, 0.00031500872322268533, 0.033920993967001614]
66|478|10|Shark|0.605|0.5997940778799594|1.537984848022461|1468.1529750572956|1250.3040997486905|2572.418816519751|1343.1051703702458|[[2841.3712142828917, 0.0, 2004.355023481056], [0.0, 2863.7600731700495, 1476.2484742699291], [0.0, 0.0, 1.0]]|[-0.12522768463073414, -0.03655398418155435, -0.0016834701843602728, 0.00031500872322268533, 0.033920993967001614]
66|479|10|Shark|0.605|0.5984507661756732|1.5506017208099365|1462.1603816362694|1243.1561623344578|2554.106025892268|1345.098138412236|[[2841.3712142828917, 0.0, 2004.355023481056], [0.0, 2863.7600731700495, 1476.2484742699291], [0.0, 0.0, 1.0]]|[-0.12522768463073414, -0.03655398418155435, -0.0016834701843602728, 0.00031500872322268533, 0.033920993967001614]
