split_part|depth_m|round
P8290060.ORF|1.1054017543792725|538
P8290059.ORF|1.123928427696228|536
P8290058.ORF|1.1494038105010986|539
P8290057.ORF|1.157069444656372|530
P8290056.ORF|1.1963478326797485|534
P8290054.ORF|1.2414071559906006|527
P8290055.ORF|1.255497932434082|548
P8290053.ORF|1.2597874402999878|520
P8290052.ORF|1.3247697353363037|536
P8290062.ORF|1.8731689453125|549
P8290068.ORF|1.8756682872772217|549
P8290070.ORF|1.8759925365447998|548
P8290064.ORF|1.8770583868026733|550
P8290069.ORF|1.8776259422302246|549
P8290067.ORF|1.8810081481933594|550
P8290066.ORF|1.8810621500015259|549
P8290063.ORF|1.886426329612732|553
P8290065.ORF|1.8887059688568115|552
P8290061.ORF|1.8922933340072632|556
P8290071.ORF|2.2334482669830322|570
P8290072.ORF|2.240142583847046|564
P8290074.ORF|2.276691198348999|557
P8290073.ORF|2.304943799972534|571
P8290076.ORF|2.3505020141601562|558
P8290075.ORF|2.3605098724365234|570
P8290077.ORF|2.3875927925109863|558
P8290078.ORF|2.4827330112457275|572
(27 rows)
