dive_id|calibration_dive_id|camera_id|model|known_length_m|length_m|depth_m|dot|pos|ax|km
59|77|1|Shark|0.605|0.6209204098971791|1.3586183786392212|1920.5552096399333;1337.9368550326335|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]
59|77|1|Shark|0.605|0.610298981187439|2.3366968631744385|1948.9792493724651;1424.5759991355203|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]
59|77|1|Shark|0.605|0.6309580684218816|2.721863269805908|1953.6106104954854;1441.8915431377109|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]
59|77|1|Grouper|0.36|0.33675788876273927|1.4309660196304321|1925.2463587877785;1348.0331230443455|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]
59|77|1|Grouper|0.36|0.3567566773687199|2.1477909088134766|1944.593396190122;1414.2531032714653|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]
59|77|1|Grouper|0.36|0.3258595560454979|2.089184045791626|1943.295585478611;1410.61339498388|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]
59|77|1|Snook|0.455|0.4350152591909786|0.9681005477905273|1895.8183051925675;1253.6475571338979|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]
59|77|1|Snook|0.455|0.43580405064174205|0.932100236415863|1893.9904610492845;1241.8823529411764|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]
59|77|1|Snook|0.455|0.44441404301588844|2.2205259799957275|1946.0107208773218;1418.5349293734114|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]
59|77|1|Snook|0.455|0.4432071543041697|2.22304105758667|1945.9846693147038;1418.7066028018255|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]
