dive_id,image_id,model,length_m,depth_m,residual_m,laser_extrinsics_id,n_ht,n_laser,ht,laser
60,4739,Ruler,0.33306285626305177,0.7940372228622437,0.0018156010191887617,23,1,1,1315.4709423656616;1032.619266409598;2493.9905359795944;1166.1117647564001,1950.4904644933938;1173.3807885018978
60,4736,Ruler,0.33344566294877137,0.8034781813621521,0.0015179512556642294,23,1,1,1313.1557441107514;1031.1139890588365;2478.724572959696;1167.0970190912135,1952.8775824070758;1177.208758823476
60,4737,Ruler,0.33396557118613157,0.8039498925209045,0.001249128021299839,23,1,1,1318.7893267835213;1060.6482081053923;2485.6532321089644;1195.3361616612706,1953.8378421103805;1177.0977400612182
60,4738,Ruler,0.3349533104183565,0.804564893245697,0.0011986112222075462,23,1,1,1318.2971977224515;1051.6409512113432;2487.7512560008927;1186.328904767221,1954.0938246532792;1177.3074110308996
60,4735,Ruler,0.3341695606952455,0.8305097818374634,0.0014310781843960285,23,1,1,1298.5482776685185;1086.7156070456283;2431.2420882678775;1193.3103631882243,1956.9522078319028;1188.5552029560606
60,4733,Ruler,0.3353644970279724,0.8392741084098816,0.0008689939859323204,23,1,1,1298.3521770351833;1093.3641771699502;2423.3061814732173;1198.3496666849442,1959.9196684077435;1191.4921622021848
60,4731,Ruler,0.3362840648122832,0.8407644629478455,0.0013592143077403307,23,1,1,1289.132075471698;1092.1509433962265;2416.301886792453;1184.0754716981132,1958.5536406968092;1192.6274393883316
60,4732,Ruler,0.3364222947494769,0.8418354392051697,0.001270852517336607,23,1,1,1280.377358490566;1079.0188679245284;2407.5471698113206;1157.811320754717,1958.9758946336187;1192.9598330330823
60,4734,Ruler,0.3352121274418087,0.8494724631309509,0.0016742070438340306,23,1,1,1296.7387108368027;1099.9276202592548;2409.649625912225;1179.27593047487,1958.7001957774237;1196.4211487109044
60,4742,Ruler,0.3290595269265844,1.7024632692337036,0.002978354459628463,23,1,1,1712.652690270372;1286.975946957546;2252.3371540672165;1373.6014361749371,2012.1823422771708;1363.7603486297985
60,4741,Ruler,0.32753751890450034,1.7362409830093384,0.0034931092523038387,23,1,1,1722.369593987437;1276.439329789335;2248.7707289503196;1363.0921481986786,2012.517235114978;1367.2840636680191
60,4740,Ruler,0.32516698061979515,1.768021583557129,0.0027975761331617832,23,1,1,1723.935868800619;1284.684499440858;2236.1378211953092;1375.1046450443203,2014.5799079410513;1369.7853276844744
60,4743,Ruler,0.3309422067230442,1.8390744924545288,0.002935771830379963,23,1,1,1740.3920771025812;1271.7582553429836;2241.447297239411;1360.8241547399296,2016.5000000000002;1376.0000000000002
60,4750,Ruler,0.32381830026764,1.8708844184875488,0.0035639251582324505,23,1,1,1716.068512547551;1293.6953226221644;2183.1140539479893;1441.064061413565,2016.5186373348474;1378.9551518984288
60,4752,Ruler,0.3239464521410353,1.8735800981521606,0.003908373415470123,23,1,1,1778.0892108035428;1286.2120351029835;2239.693444925529;1448.5443689101262,2016.1109126962956;1379.3628765369801
60,4753,Ruler,0.32492320806039326,1.878490924835205,0.003950302489101887,23,1,1,1818.9319756573263;1271.9627685585642;2276.364540865833;1446.4473552875822,2016.193188691726;1379.781139512387
60,4748,Ruler,0.32544960854543054,1.8812007904052734,0.003042271826416254,23,1,1,1756.5199926595553;1269.821709195653;2228.475589444396;1399.4149742593697,2017.5412144471109;1379.4932180579276
60,4749,Ruler,0.32557393553706754,1.8816914558410645,0.003463370492681861,23,1,1,1758.6101696846506;1302.905842706256;2231.236539062988;1430.2184809520813,2016.9631384861527;1379.7588005784235
60,4745,Ruler,0.3254897841731284,1.883745551109314,0.0036411983892321587,23,1,1,1758.515459580728;1309.6403426527227;2235.083288718457;1418.0130459485524,2016.7718806007201;1380.0200585877953
60,4751,Ruler,0.32588924736113056,1.8887368440628052,0.0038941968232393265,23,1,1,1726.994449281504;1287.6761946340798;2194.7094931734878;1427.5461721184108,2016.560212837627;1380.5579992948508
60,4746,Ruler,0.32577265556518015,1.893497109413147,0.003956197760999203,23,1,1,1781.7971413045207;1259.9718606173863;2257.5627264204263;1362.1707729626653,2016.6062981321363;1380.9631957432953
60,4747,Ruler,0.32750624737105133,1.894964337348938,0.003339443588629365,23,1,1,1786.9637079964573;1303.062282582342;2261.6284022258656;1420.1208218213476,2017.5009765625;1380.7286376953125
60,4744,Ruler,0.3263454577325822,1.8953725099563599,0.003340537194162607,23,1,1,1763.375792432358;1280.7238838714;2240.140312733657;1379.9505988858227,2017.5128360727613;1380.767177408187
66,3550,Ruler,0.3273204556239806,1.7844680547714233,0.0021481213625520468,21,1,1,1759.0591159730764;1264.5222240427838;2279.471324912176;1293.1239674295173,2036.6464996807276;1357.1083312758215
66,3548,Ruler,0.3297048984636747,1.7920608520507812,0.003109296318143606,21,1,1,1746.3661340821689;1299.1937926473452;2268.731632813533;1319.5986949415392,2035.4201608011635;1358.2885037850033
66,3552,Ruler,0.3205497998506436,1.9044545888900757,0.002389023080468178,21,1,1,1742.4693947879298;1282.7011286530892;2220.676592144167;1288.9795601282258,2039.4694678550823;1367.2144872447286
66,3551,Ruler,0.32624607337274,1.9146509170532227,0.0032892778981477022,21,1,1,1749.044364848602;1313.4673034718;2233.108731318962;1322.8634658731658,2038.4612432860524;1368.4535762483306
(27 rows)
